nome,instagram,categoria_principal,categorias_exibicao,subcategoria_final,acao_sugerida,observacao,posts_no_ano,ultimo_post,telefone,endereco,ja_no_guia,resumo,links_posts
Kopenhagen_vila_mascote,@kopenhagen_vila_mascote,"Cafes, Padarias & Doces","Cafes, Padarias & Doces | Lojas & Presentes",Chocolate / presentes,Listar,,4,2026-03-29,11994434389; 1155654009,"Rua Jovina, 190",sim,"A gente foi visitar a @kopenhagen_vila_mascote e conferir todas as delícias para a Páscoa desse ano. 🐇😍 A loja aqui do bairro oferece uma grande variedade de ovos de Páscoa, desde tradicionais até recheados. 🍫🍪 Na @kopenhagen_vila_mascote, você também pode aproveitar e tomar um delicioso café enquanto faz suas compras.☕☺️ Dá uma passadinha lá pra conhecer: 📍Rua Jovina, 190 📲 11 99443-4389 (WhatsApp) 🕐 Horários especi",https://www.instagram.com/p/DWeI8v9BaAO/; https://www.instagram.com/p/DShzAPlDt7M/; https://www.instagram.com/p/DRW_jH3jk2_/; https://www.instagram.com/p/DKrv0hfuUM8/
Vilamascote Thebestacai,@vilamascote.thebestacai,"Cafes, Padarias & Doces","Cafes, Padarias & Doces | Gastronomia & Delivery",Acai,Listar,,1,2025-09-12,,"Inaugurada recentemente na Av. Santa Catarina, 2233, a The Best Açaí Vila Mascote chegou fazendo sucesso! São 12 sabores de açaí, 24 opções de sorvete e mais de 40 acompanhamentos pra você montar do seu jeito e se deliciar. 😋; Av. Santa Catarina, 2233 – Vila Santa Catarina, SP; Av. Santa Catarina, 2233, a The Best Açaí Vila Mascote chegou fazendo sucesso! São 12 sabores de açaí, 24 opções d",não,"🍧✨ A gente foi conhecer a @vilamascote.thebestacai, uma novidade deliciosa na região! Experimentamos vários sabores e aprovamos. 💜 Inaugurada recentemente na Av. Santa Catarina, 2233, a The Best Açaí Vila Mascote chegou fazendo sucesso! São 12 sabores de açaí, 24 opções de sorvete e mais de 40 acompanhamentos pra você montar do seu jeito e se deliciar. 😋 👉 A @thebestacaiofficial é a maior rede de self-service de açaí",https://www.instagram.com/p/DOhD9fQDpWw/
Casaelleganceprime,@casaelleganceprime,"Casa, Decoracao & Organizacao","Casa, Decoracao & Organizacao",Marcenaria / moveis,Listar,,6,2025-12-05,11994802596,"Av. Prof. Vicente Ráo, 2077",não,"Querendo renovar o ambiente da sua casa ou escritório nesse fim de ano? A @casaelleganceprime fica aqui pertinho e é uma ótima escolha. 🏠✨ A loja trabalha com móveis para todos os estilos, desde os convencionais até os modulados e planejados, além de sofás, poltronas, móveis para áreas externas, painéis ripados e uma linha completa de colchões e baús com entrega imediata. A variedade e a sofisticação são de cair o qu",https://www.instagram.com/p/DR4rGeODs4k/; https://www.instagram.com/p/DQy-BA3jiP2/; https://www.instagram.com/p/DPXDCmeDr3z/; https://www.instagram.com/p/DOMYnhzjnR4/; https://www.instagram.com/p/DNGSzS3OEgg/; https://www.instagram.com/p/DLqOvGPO66v/
Girasole Boutiquedosaromas,@girasole.boutiquedosaromas,"Casa, Decoracao & Organizacao","Casa, Decoracao & Organizacao | Lojas & Presentes",Aromas / presentes,Listar,,2,2026-04-12,11988308225,"Avenida Vereador João de Lucca, 627 – Sobreloja da Zophi Modas",não,"🎫 20% OFF NA COMPRA DE 3 AROMAS Que tal deixar sua casa ou estúdio com aquele perfume de spa? 🧴☺️ A @girasole.boutiquedosaromas é especializada em perfumaria de ambiente e tem tudo para transformar o clima do seu espaço. Por lá, você encontra difusores de varetas, sabonete líquido, home spray, velas aromáticas e óleos concentrados para difusores elétricos. São diversas opções, inclusive kits prontos para presentear q",https://www.instagram.com/p/DXCFNn3B9KZ/; https://www.instagram.com/p/DUdNUL7Dhst/
Luh Organizer,@luh.organizer,"Casa, Decoracao & Organizacao","Casa, Decoracao & Organizacao | Servicos para Casa",Organizacao,Listar,,2,2025-11-23,1152864150,,não,"Quer uma árvore de Natal linda, elegante e sem dor de cabeça? Alugue a sua com a @luh.organizer.🎄😍 Com o aluguel de árvore de Natal, você tem: • Praticidade total — ela entrega, monta e desmonta pra você. • Economia — evite gastar com uma árvore nova todo ano. • Sustentabilidade — ela reutiliza e reaproveita materiais, ajudando o planeta. • Variedade de estilos — do clássico ao moderno, tem o modelo ideal para o seu ",https://www.instagram.com/p/DRaV9o5jjS8/; https://www.instagram.com/p/DQpaW2QDoI1/
Nobre Marcenaria,@nobre.marcenaria,"Casa, Decoracao & Organizacao","Casa, Decoracao & Organizacao | Servicos para Casa",Marcenaria / moveis,Listar,,2,2026-04-20,11964795530,,não,"🎫 10% OFF NA CONFECÇÃO DE MÓVEIS PLANEJADOS Dica boa pra quem mora na Mascote e está pensando em dar aquele upgrade nos móveis de casa ou do escritório: a @nobre.marcenaria.🪚🛠️😊 A empresa tem 7 anos de história e vem transformando ambientes com móveis sob medida em MDF e o melhor: com atendimento em todas as regiões, inclusive aqui no bairro. 📍 Eles também fazem reparos em móveis de MDF que você já tem por aí e que s",https://www.instagram.com/p/DXXb6R7D2u8/; https://www.instagram.com/p/DLaCvvoO7Z-/
Seuestilodecor,@seuestilodecor,"Casa, Decoracao & Organizacao","Casa, Decoracao & Organizacao",Decoracao,Listar,,3,2025-11-05,1155631751; 11996263724; 11996263725,"Rua Palestina, 172 – Vila Mascote; Rua Palestina, 172",não,"✨ A @seuestilodecor já tem mais de 10 anos de história na Vila Mascote e segue como referência quando o assunto é decoração, cortinas e persianas sob medida. 💛 E a boa notícia? Ainda dá tempo de renovar sua casa, escritório ou comércio antes do fim do ano! A Seu Estilo Decor é especialista em persianas sob medida, com modelos que unem tecnologia, conforto e sofisticação. Persianas com controle remoto sensível ao toqu",https://www.instagram.com/p/DQsXeiiju0X/; https://www.instagram.com/p/DOJ1PtBjinz/; https://www.instagram.com/p/DM0yTS-R2VR/
Culturainglesa Vilamascote,@culturainglesa.vilamascote,Educacao & Cursos,Educacao & Cursos,Escola de idiomas,Listar,,4,2026-05-11,11974603872,"Rua Palacete das Águias, 877",não,"🎫 FAÇA SUA MATRÍCULA DURANTE O MÊS DE MAIO E GANHE UMA MOCHILA EXCLUSIVA Você está adiando seu início no curso de inglês? A teacher Luiza, da @culturainglesa.vilamascote, te ajuda a tomar uma decisão rápida! 👩🏻‍🏫📚😉 A unidade aqui do bairro te espera para dar o primeiro passo no seu inglês com mais confiança e leveza. 💙🇺🇸 Antecipe a sua matrícula na @culturainglesa.vilamascote e aproveite a metodologia única: 📱 11 974",https://www.instagram.com/p/DYM_treuKz9/; https://www.instagram.com/p/DWg0yYxDuDi/; https://www.instagram.com/p/DVJ1AFrDVHs/; https://www.instagram.com/p/DT2ynN7Di10/
Escolaludus,@escolaludus,Educacao & Cursos,Educacao & Cursos | Infantil & Familia,Escola de idiomas,Listar,,3,2026-02-03,1150319992; 1125062322,"Avenida Jônia, 655",sim,"🎫 MATRÍCULA GRÁTIS + 15% OFF NA MENSALIDADE Na @escolaludus, o crescimento pessoal é a base para um amanhã cheio de possibilidades.🤩🏫 São 30 anos de tradição aqui no bairro, com muito profissionalismo e dedicação. 🥰 A Ludus Educere trabalha com berçário e educação infantil, atendendo os pequeninos de 4 meses a 6 anos. Os profissionais são verdadeiramente apaixonados pelo que fazem, trazendo anos de experiência à sala",https://www.instagram.com/p/DUTNuFTDuRS/; https://www.instagram.com/p/DTOUpQBjmHB/; https://www.instagram.com/p/DRvC6V-jkVE/
Isec.idiomas,@isec.idiomas,Educacao & Cursos,Educacao & Cursos,Escola de idiomas,Listar,,11,2026-04-30,11982106862; 1155240724,"Avenida Santa Catarina, 1.447/1.521 - sala 306",sim,"🎫 50% OFF NAS 4 PRIMEIRAS MENSALIDADES Você não precisa morar fora do país para aprender inglês. Na @isec.idiomas, você aprende durante o ano todo. Veja o caso dessa aluna que está na escola desde os 7 anos. 🏫🥰 As aulas são para todas as idades, em grupo ou particular. Também tem reforço e preparação de alunos para ingressar em escolas norte-americanas. 🇺🇸📚 O ambiente é descontraído, atrativo e interativo, motivando ",https://www.instagram.com/p/DXwnj7lOXeP/; https://www.instagram.com/p/DWXGVQ-kf5-/; https://www.instagram.com/p/DVOaeBRjptp/; https://www.instagram.com/p/DTvGnxEDuYM/; https://www.instagram.com/p/DSSbtHajtVw/; https://www.instagram.com/p/DRe5qALDqqU/; https://www.instagram.com/p/DQH9q4PjneW/; https://www.instagram.com/p/DO_WCNijk51/; https://www.instagram.com/p/DN50EoUDpHq/; https://www.instagram.com/p/DMJFplSOkpF/; https://www.instagram.com/p/DLU_46MOgZ-/
Olimpiafutebol,@olimpiafutebol,Educacao & Cursos,"Academias, Esportes & Bem-Estar | Educacao & Cursos | Infantil & Familia",Academia/Fitness,Listar,,1,2025-06-06,11940368687,"Rua Viaza, 834 – Jardim Aeroporto",não,"🎫 ISENÇÃO DE MATRÍCULA + 10% OFF NA MENSALIDADE A @olimpiafutebol tem mais de 30 anos de história, e desde então vem transformando o jeito de aprender e viver o futebol. 🏟⚽ A escola tem uma unidade aqui pertinho, no Jardim Aeroporto, e oferece aulas para crianças de 5 até adolescentes de 15 anos e o melhor: tem aula experimental grátis antes da matrícula.🤩🥅 Além dos treinos, os alunos participam de campeonatos, torne",https://www.instagram.com/p/DKkEfMRuGJp/
Rededecisao,@rededecisao,Educacao & Cursos,Educacao & Cursos | Infantil & Familia,Escola,Listar,,1,2025-10-30,1151983736,"Rua Jorge Duprat Figueiredo, 304",não,"Se você busca uma escola completa para o seu filho em 2026, precisa conhecer a @rededecisao. A unidade aqui da Mascote foi inaugurada em 2020, mas a rede já tem 41 anos de história e tradição na educação.🏫 Por lá, os alunos contam com professores experientes e apaixonados pelo que fazem, e um espaço incrível que faz toda diferença no dia a dia: sala Google, brinquedão, aulas de inglês, laboratório, duas quadras cober",https://www.instagram.com/p/DQcl6l9joSg/
Kasportsoficial,@kasportsoficial,Festas & Eventos,Festas & Eventos | Infantil & Familia,Eventos / recreacao,Listar,,1,2025-11-03,11954546867,,não,"🎈✨ Diversão que conecta pessoas e cria memórias por onde passa! ✨🎈 A gente adora destacar quem espalha alegria e transforma momentos em pura diversão e a KA Sports é especialista nisso! 💖 Com uma equipe super animada e apaixonada pelo que faz, a @kasportsoficial leva energia e movimento pra eventos em toda a grande São Paulo, de festas infantis a eventos corporativos. Olha só o que eles oferecem 👇 🎨 Pintura facial co",https://www.instagram.com/p/DQnCiq7jqg_/
Projetosfesta,@projetosfesta,Festas & Eventos,Festas & Eventos | Lojas & Presentes,Festas / decoracao,Listar,,1,2025-06-05,11947875908,,não,"🎫 DESCONTO ESPECIAL PARA OS NOSSOS SEGUIDORES A @projetosfesta atende em diversas regiões da cidade, inclusive aqui na Mascote, e já está há 4 anos no mercado, levando charme e praticidade para todo tipo de evento, inclusive fomos conferir de perto uma inauguração. 🥂😉 Com um toque de bom gosto, culinária de alta classe e aquele atendimento personalizado que faz toda a diferença, eles cuidam de tudo: desde o coffee br",https://www.instagram.com/p/DKheNngM7Tg/
Arabianmixfood,@arabianmixfood,Gastronomia & Delivery,Gastronomia & Delivery,Árabe,Listar,,11,2026-05-23,1156797300; 11948727758,"Rua Derval, 111B – Vila Mascote São Paulo/SP; Rua Derval, 111B – Vila Mascote – São Paulo; Rua Derval, 111B – Vila Mascote São Paulo; Rua Derval, 111B - Vila Mascote São Paulo; Rua Derval, 111B Vila Mascote",sim,"🎫 CUPOM DE DESCONTO MASCOTE Se você ama comida árabe, precisa ver isso 👀 🇦🇪 A gente foi até a cozinha do @arabianmixfood e acompanhou tudo de perto… e tem um detalhe que faz toda a diferença: lá tudo é feito na hora. Os kebabs e shawarmas estão com receitas renovadas, o pão ficou mais generoso e o recheio é simplesmente impressionante! 😋 E se você não sabe por onde começar, anota os queridinhos 👇 🔥 Shawarma super rec",https://www.instagram.com/p/DYskru6hqoY/; https://www.instagram.com/p/DXSeQoiCSei/; https://www.instagram.com/p/DWKW6oDFZ2c/; https://www.instagram.com/p/DVCQh4xDl1f/; https://www.instagram.com/p/DTWGCXRjsKm/; https://www.instagram.com/p/DR78xswjm5Z/; https://www.instagram.com/p/DQz5PB8jlLj/; https://www.instagram.com/p/DPZzrNIDo0O/; https://www.instagram.com/p/DORufc_jgCr/; https://www.instagram.com/p/DM3pfOqRiCy/; https://www.instagram.com/p/DLLVae_RrrW/
Atelie.juguedes,@atelie.juguedes,Gastronomia & Delivery,"Gastronomia & Delivery | Cafes, Padarias & Doces",Doces/Bolos,Listar,,5,2025-10-18,11976444588,"Avenida Damasceno Vieira, 853",sim,"Você sabia que o @atelie.juguedes tem tortas doces à pronta entrega? 🥧😋 São diversas opções: banoffe, limonoffe, choconoffe, mousse de maracujá e a trio perfeito, feita com 3 chocolates, branco, ao leite e meio amargo. 😍🍫 O ateliê fica aqui no bairro e conta com ambiente climatizado, acolhedor e cheio de charme, ideal para relaxar, tomar aquele café especial e apreciar uma deliciosa sobremesa.🍰☕ Você também pode enco",https://www.instagram.com/p/DP8y8MfDn8U/; https://www.instagram.com/p/DOgUv6RjtJP/; https://www.instagram.com/p/DNYRNWLucvM/; https://www.instagram.com/p/DMNm6-bMpsu/; https://www.instagram.com/p/DK2ohnEukf6/
